Time to calculate in seconds: 37.125117706
Min cost : 1656 ::::: Permutation is  3 11 6 10 7 4 2 12 5 8 1 9
Max cost : 2098 ::::: Permutation is  7 10 4 1 11 2 3 6 5 8 9 12
Total cost is :1888114434
Sum of the squared costs is :3567498069036
Average cost is: 1888
The standard deviation is: 50
Total permutations ran: 1000000
Best Permutations are: 
 .3.11.6.10.7.4.2.12.5.8.1.9
2048, 61
2050, 46
2052, 32
2054, 26
2056, 35
2058, 17
2060, 18
2062, 16
2064, 8
2066, 7
2068, 3
2070, 4
2072, 5
2074, 2
2076, 2
2080, 2
2088, 2
2098, 1
1656, 1
1664, 3
1666, 3
1668, 8
1674, 2
1678, 1
1682, 2
1684, 2
1688, 1
1690, 3
1692, 8
1694, 7
1696, 6
1698, 12
1700, 13
1702, 11
1704, 10
1706, 18
1708, 23
1710, 25
1712, 30
1714, 42
1716, 47
1718, 53
1720, 63
1722, 61
1724, 86
1726, 77
1728, 98
1730, 123
1732, 131
1734, 138
1736, 160
1738, 210
1740, 217
1742, 251
1744, 253
1746, 322
1748, 331
1750, 348
1752, 435
1754, 464
1756, 529
1758, 605
1760, 627
1762, 708
1764, 712
1766, 859
1768, 861
1770, 982
1772, 1064
1774, 1284
1776, 1339
1778, 1462
1780, 1573
1782, 1804
1784, 1818
1786, 2093
1788, 2165
1790, 2384
1792, 2393
1794, 2742
1796, 2907
1798, 3264
1800, 3273
1802, 3769
1804, 3828
1806, 4231
1808, 4335
1810, 4989
1812, 5036
1814, 5479
1816, 5562
1818, 6091
1820, 6157
1822, 6876
1824, 6805
1826, 7554
1828, 7594
1830, 8298
1832, 8162
1834, 9272
1836, 9189
1838, 10009
1840, 10065
1842, 10804
1844, 10509
1846, 11660
1848, 11374
1850, 12114
1852, 12094
1854, 13065
1856, 12585
1858, 13646
1860, 13289
1862, 14112
1864, 13842
1866, 14906
1868, 14264
1870, 15196
1872, 14782
1874, 15597
1876, 14889
1878, 15575
1880, 15274
1882, 16018
1884, 15458
1886, 16074
1888, 15295
1890, 16047
1892, 15178
1894, 15811
1896, 15058
1898, 15820
1900, 14834
1902, 15239
1904, 14499
1906, 14977
1908, 14272
1910, 14499
1912, 13624
1914, 14117
1916, 13241
1918, 13499
1920, 12478
1922, 12894
1924, 11936
1926, 12064
1928, 11600
1930, 11532
1932, 10652
1934, 10812
1936, 10011
1938, 9888
1940, 9232
1942, 9281
1944, 8342
1946, 8446
1948, 7744
1950, 7814
1952, 7138
1954, 7026
1956, 6495
1958, 6383
1960, 5796
1962, 5738
1964, 5212
1966, 5154
1968, 4599
1970, 4451
1972, 4019
1974, 3869
1976, 3587
1978, 3319
1980, 3002
1982, 2937
1984, 2603
1986, 2512
1988, 2211
1990, 2137
1992, 1800
1994, 1804
1996, 1594
1998, 1588
2000, 1270
2002, 1214
2004, 1059
2006, 996
2008, 896
2010, 830
2012, 716
2014, 705
2016, 589
2018, 585
2020, 469
2022, 399
2024, 361
2026, 307
2028, 296
2030, 257
2032, 211
2034, 196
2036, 154
2038, 142
2040, 125
2042, 105
2044, 79
2046, 82
Number of improvements: 15
Number of additional permutations attempted: 850000
